time,rssi_rec,rssi_send,rssi_eve_rec,rssi_eve_send
506116123,-38,-47,-69,-34
506138693,-40,-47,-69,-35
506156807,-40,-47,-65,-34
506175789,-39,-46,-63,-36
506197251,-40,-47,-61,-33
506215789,-39,-45,-58,-34
506241847,-36,-46,-56,-33
506258186,-37,-44,-55,-34
506275811,-38,-44,-53,-36
506295794,-36,-43,-52,-35
506315809,-36,-43,-53,-34
506338229,-33,-42,-54,-33
506355787,-35,-42,-53,-33
506375786,-34,-42,-56,-33
506395800,-34,-42,-57,-33
506415770,-32,-42,-59,-34
506435801,-34,-41,-61,-33
506456798,-36,-43,-60,-36
506475815,-34,-42,-58,-34
506495838,-35,-42,-55,-35
506515796,-36,-42,-55,-35
506537559,-37,-43,-54,-36
506556156,-35,-43,-55,-34
506576276,-36,-41,-57,-36
506595807,-34,-42,-57,-34
506618950,-35,-40,-55,-34
506636343,-33,-41,-54,-36
506655785,-33,-41,-54,-36
506675791,-33,-40,-55,-34
506696203,-32,-41,-53,-36
506715845,-32,-40,-53,-35
506736003,-30,-41,-52,-34
506755845,-34,-40,-53,-33
506775784,-32,-42,-55,-35
506797916,-34,-42,-55,-33
506816294,-35,-41,-54,-36
506835784,-34,-41,-56,-35
506856572,-33,-41,-55,-35
506875783,-33,-40,-55,-35
506896946,-32,-41,-55,-35
506915797,-34,-41,-55,-35
506935880,-33,-41,-55,-35
506961289,-32,-40,-52,-35
506975759,-33,-40,-53,-35
506995858,-33,-41,-51,-35
507015773,-34,-42,-52,-35
507035810,-36,-42,-54,-35
507055911,-34,-41,-53,-36
507077366,-33,-40,-53,-33
507095784,-34,-42,-52,-35
507115782,-34,-41,-53,-34
507135807,-34,-42,-53,-34
507156879,-33,-41,-53,-34
507180173,-33,-42,-54,-33
507195786,-33,-41,-53,-36
507215786,-34,-40,-53,-34
507235780,-33,-40,-50,-34
507255845,-33,-41,-52,-36
507276001,-33,-41,-53,-35
507295758,-33,-41,-53,-36
507315795,-33,-40,-51,-35
507335766,-33,-42,-53,-34
507355780,-34,-41,-51,-35
507378393,-33,-41,-53,-34
507395785,-33,-40,-52,-35
507415780,-33,-40,-53,-34
507435797,-33,-41,-52,-34
507457650,-33,-42,-52,-34
507475798,-34,-40,-53,-34
507497532,-34,-40,-51,-35
507515940,-33,-40,-52,-33
507537343,-34,-41,-52,-35
507556250,-34,-42,-53,-35
507575799,-36,-41,-52,-36
507596050,-33,-40,-53,-35
507617163,-34,-40,-52,-34
507637305,-34,-41,-53,-35
507655752,-33,-43,-53,-35
507675802,-33,-40,-52,-35
507695831,-33,-43,-53,-35
507715777,-35,-41,-52,-34
507735781,-34,-42,-52,-33
507757397,-33,-40,-53,-34
507777373,-32,-41,-51,-35
507795783,-34,-43,-52,-33
507815779,-33,-42,-52,-35
